 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K55237223,,,,,,
"BIG-IP (Advanced WAF, ASM)",16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1*",High,7.5,bd process
 ,15.x,15.0.0 - 15.1.1,15.1.2,,,
 ,14.x,14.1.0 - 14.1.3,14.1.3.1*,,,
 ,13.x,13.1.0 - 13.1.3,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,12.1.5.3**,,,
 ,11.x,None,Not applicable,,,
"BIG-IP (LTM, AAM, AFM, Analytics, APM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,7.x,None,Not applicable,Not vulnerable,None,None
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K88230177,,,,,,
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, APM, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1*",Medium,5.9,TCP Profile
 ,15.x,15.1.0 - 15.1.1,15.1.2,,,
 ,14.x,14.1.0 - 14.1.3,14.1.3.1*,,,
 ,13.x,13.1.0 - 13.1.3,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,12.1.5.3**,,,
 ,11.x,11.6.1 - 11.6.5,11.6.5.3,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K31025212,,,,,,
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, APM, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1*",Medium,5.9,TCP profile
 ,15.x,15.1.0 - 15.1.1,15.1.2,,,
 ,14.x,14.1.0 - 14.1.3,14.1.3.1*,,,
 ,13.x,13.1.0 - 13.1.3,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,12.1.5.3**,,,
 ,11.x,11.6.1 - 11.6.5,11.6.5.3,,,
BIG-IQ Centralized Management,7.x,None,Not applicable,Not vulnerable,None,None
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K43470422,,,,,,
BIG-IP (all modules),16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1","Medium

			--

			High - Appliance Mode Only3",6.0,System support functions
 ,15.x,15.0.0 - 15.1.2,15.1.3,,,
 ,14.x,14.1.0 - 14.1.3,14.1.4,,,
 ,13.x,13.1.0 - 13.1.3,13.1.4,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,7.x,None,Not applicable,Not vulnerable,None,None
 ,6.x,None,Not applicable,,,
 ,5.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K04234247,,,,,,
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, APM, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1*",Critical,9.0,TMM
 ,15.x,15.1.0 - 15.1.2,15.1.2.1,,,
 ,14.x,14.1.0 - 14.1.3,14.1.4*,,,
 ,13.x,13.1.0 - 13.1.3,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,12.1.5.3**,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K56715231,,,,,,
"BIG-IP (Advanced WAF, ASM)",16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1*",Medium,4.3,BIG-IP ASM file transfer worker
 ,15.x,15.0.0 - 15.1.0,15.1.2.1,,,
 ,14.x,14.1.0 - 14.1.2,14.1.4*,,,
 ,13.x,13.1.0 - 13.1.3,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,12.1.5.3**,,,
 ,11.x,11.6.1 - 11.6.5,11.6.5.3,,,
"BIG-IP (LTM, AAM, AFM, Analytics, APM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K06440657,,,,,,
BIG-IP (all modules),16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1",Medium,5.9,TMM
 ,15.x,15.1.0 - 15.1.2,15.1.3,,,
 ,14.x,14.1.0 - 14.1.3,14.1.4,,,
 ,13.x,13.1.0 - 13.1.3,13.1.4,,,
 ,12.x,12.1.0 - 12.1.5,12.1.6,,,
 ,11.x,11.6.1 - 11.6.5,11.6.5.3,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K10751325,,,,,,
,"APM None
LTM None
DNS None",,,,,
K65213626,,,,,,
,"APM None
LTM None
DNS None",,,,,
K25893729,,,,,,
,"APM None
LTM None
DNS None",,,,,
K96003129,,,,,,
,"APM None
LTM None
DNS None",,,,,
K32562936,,,,,,
BIG-IP (all modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,8.0.0,"8.1.0
			8.0.0.1",Medium,6.5,Configuration utility
 ,7.x,7.0.0 - 7.1.0,None,,,
 ,6.x,6.0.0 - 6.1.0,None,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K06024431,,,,,,
